date,aapl_open,aapl_high,aapl_low,aapl_close,aapl_volume,vxapl_open,vxapl_high,vxapl_low,vxapl_close,vix_open,vix_high,vix_low,vix_close,vix9d_open,vix9d_high,vix9d_low,vix9d_close,earnings_flag,fiscal_quarter_end,eps_estimate,eps_actual,eps_surprise_pct,source_ids
2014-04-11,16.2676844,16.38773451,16.2093852,16.28680611,271717600,27.05,28.34,26.99,28.13,16.66,17.85,15.89,17.03,17.97,18.74,16.27,17.64,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-04-14,16.35857963,16.36672849,16.21157536,16.35168457,205674000,29.53,30.05,27.74,27.8,16.14,17.4,16.1,16.11,16.44,17.91,15.95,16.0,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-04-15,16.30748831,16.35042886,16.0272699,16.23508263,266490000,27.93,28.66,27.08,27.26,16.14,17.5,15.47,15.61,16.05,18.31,15.03,15.03,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-04-16,16.23790083,16.33318793,16.11534484,16.26799202,214765600,27.16,27.3,25.74,26.24,14.89,15.27,14.05,14.18,14.07,15.2,13.3,13.52,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-04-17,16.29902117,16.54225327,16.27394518,16.45386124,284334400,26.22,26.46,24.48,24.86,14.09,14.17,13.07,13.36,13.3,13.55,11.3,11.68,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-04-21,16.46639537,16.67953622,16.42314013,16.64913368,182548800,25.36,25.38,24.37,24.79,14.1,14.11,13.17,13.25,14.03,14.14,12.94,12.99,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-04-22,16.55949035,16.66982303,16.50275801,16.6657486,202563200,24.84,25.49,24.11,24.17,13.13,13.26,12.9,13.19,12.81,13.11,12.44,12.51,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-04-23,16.58300623,16.64788913,16.43850788,16.44791222,394940000,24.31,25.92,23.8,25.89,13.35,13.75,13.27,13.27,12.69,13.41,12.61,12.67,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-04-24,17.81013656,17.86624286,17.57568096,17.79634476,759911600,18.94,20.27,18.82,20.0,13.36,14.08,13.09,13.32,12.76,14.16,12.76,13.27,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
2014-04-25,17.69478131,17.92860907,17.67691676,17.92704391,390275200,20.01,20.47,19.59,20.22,13.93,14.67,13.91,14.06,14.07,15.44,13.42,13.94,0,,,,,AAPL_YF_GITHUB;CBOE_VXAPL;CBOE_VIX;CBOE_VIX9D
