as_of_date,kappa,theta,xi,rho,v0,mu,model,window_start,window_end,n_observations,calibration_loss,optimizer_success
2016-06-27,2.0,0.021851596328051545,0.3,-0.5,0.021851596328051545,0.02050455060092948,heston,2014-06-27,2016-06-27,503,0.0,False
2016-07-05,2.0,0.022231758397856283,0.3,-0.5,0.022231758397856283,0.03802831559124951,heston,2014-07-07,2016-07-05,503,0.0,False
2016-07-11,2.0,0.022322489823760186,0.3,-0.5,0.022322489823760186,0.05221583630861927,heston,2014-07-11,2016-07-11,503,0.0,False
2016-07-18,2.0,0.02222865485454267,0.3,-0.5,0.02222865485454267,0.0563892862630542,heston,2014-07-18,2016-07-18,503,0.0,False
2016-07-25,2.0,0.02223382897279016,0.3,-0.5,0.02223382897279016,0.05692343030405765,heston,2014-07-25,2016-07-25,503,0.0,False
2016-08-01,2.0,0.022017092459626006,0.3,-0.5,0.022017092459626006,0.0708896899650546,heston,2014-08-01,2016-08-01,503,0.0,False
2016-08-08,2.0,0.021920997395535338,0.3,-0.5,0.021920997395535338,0.07147629702748437,heston,2014-08-08,2016-08-08,503,0.0,False
2016-08-15,2.0,0.021902349536760114,0.3,-0.5,0.021902349536760114,0.06746206849712723,heston,2014-08-15,2016-08-15,503,0.0,False
2016-08-22,2.0,0.021867674309621936,0.3,-0.5,0.021867674309621936,0.05735802954508827,heston,2014-08-22,2016-08-22,503,0.0,False
2016-08-29,2.0,0.021881193547829997,0.3,-0.5,0.021881193547829997,0.053168211929675614,heston,2014-08-29,2016-08-29,503,0.0,False
2016-09-06,2.0,0.021885960815137658,0.3,-0.5,0.021885960815137658,0.055005072874472545,heston,2014-09-08,2016-09-06,503,0.0,False
2016-09-12,2.0,0.022240713459439083,0.3,-0.5,0.022240713459439083,0.05264943891809513,heston,2014-09-12,2016-09-12,503,0.0,False
2016-09-19,2.0,0.02237944932579988,0.3,-0.5,0.02237944932579988,0.041952733540721106,heston,2014-09-19,2016-09-19,503,0.0,False
2016-09-26,2.0,0.022266377751523677,0.3,-0.5,0.022266377751523677,0.05087956540111829,heston,2014-09-26,2016-09-26,503,0.0,False
2016-10-03,2.0,0.02220940926006024,0.3,-0.5,0.02220940926006024,0.05794522357900042,heston,2014-10-03,2016-10-03,503,0.0,False
2016-10-10,2.0,0.02170417256229917,0.3,-0.5,0.02170417256229917,0.07405585454989803,heston,2014-10-10,2016-10-10,503,0.0,False
2016-10-17,2.0,0.021567741031436903,0.3,-0.5,0.021567741031436903,0.07062173641370112,heston,2014-10-17,2016-10-17,503,0.0,False
2016-10-24,2.0,0.021245779681613276,0.3,-0.5,0.021245779681613276,0.05562224204392315,heston,2014-10-24,2016-10-24,503,0.0,False
2016-10-31,2.0,0.02111393572726607,0.3,-0.5,0.02111393572726607,0.036906320244571515,heston,2014-10-31,2016-10-31,503,0.0,False
2016-11-07,2.0,0.021374875980341726,0.3,-0.5,0.021374875980341726,0.0342926178465915,heston,2014-11-07,2016-11-07,503,0.0,False
2016-11-14,2.0,0.021439052542352014,0.3,-0.5,0.021439052542352014,0.04013308276039321,heston,2014-11-14,2016-11-14,503,0.0,False
2016-11-21,2.0,0.021480767260870656,0.3,-0.5,0.021480767260870656,0.04237185888542614,heston,2014-11-21,2016-11-21,503,0.0,False
2016-11-28,2.0,0.021491231752953713,0.3,-0.5,0.021491231752953713,0.041868606562106066,heston,2014-11-28,2016-11-28,503,0.0,False
2016-12-05,2.0,0.021466552040330697,0.3,-0.5,0.021466552040330697,0.04110584997193774,heston,2014-12-05,2016-12-05,503,0.0,False
2016-12-12,2.0,0.021267782338777217,0.3,-0.5,0.021267782338777217,0.07019360921612108,heston,2014-12-12,2016-12-12,503,0.0,False
2016-12-19,2.0,0.020826541223176658,0.3,-0.5,0.020826541223176658,0.05452876524318956,heston,2014-12-19,2016-12-19,503,0.0,False
2016-12-27,2.0,0.020827171943685593,0.3,-0.5,0.020827171943685593,0.05086150760198267,heston,2014-12-29,2016-12-27,503,0.0,False
2017-01-03,2.0,0.02066068882734253,0.3,-0.5,0.02066068882734253,0.06558292413698925,heston,2015-01-05,2017-01-03,503,0.0,False
2017-01-09,2.0,0.020382307128268443,0.3,-0.5,0.020382307128268443,0.06190555908448593,heston,2015-01-09,2017-01-09,503,0.0,False
2017-01-17,2.0,0.020214577144390577,0.3,-0.5,0.020214577144390577,0.0678249316703522,heston,2015-01-16,2017-01-17,503,0.0,False
2017-01-23,2.0,0.02009805561661558,0.3,-0.5,0.02009805561661558,0.059314210665901194,heston,2015-01-23,2017-01-23,503,0.0,False
2017-01-30,2.0,0.019871580181130607,0.3,-0.5,0.019871580181130607,0.07597001844052814,heston,2015-01-30,2017-01-30,503,0.0,False
2017-02-06,2.0,0.01966160247620403,0.3,-0.5,0.01966160247620403,0.06380136901085051,heston,2015-02-06,2017-02-06,503,0.0,False
2017-02-13,2.0,0.019582296517517046,0.3,-0.5,0.019582296517517046,0.06189025903054489,heston,2015-02-13,2017-02-13,503,0.0,False
2017-02-21,2.0,0.019601780308791176,0.3,-0.5,0.019601780308791176,0.06644215320252028,heston,2015-02-23,2017-02-21,503,0.0,False
2017-02-27,2.0,0.0195922712009194,0.3,-0.5,0.0195922712009194,0.06905306340515868,heston,2015-02-27,2017-02-27,503,0.0,False
2017-03-06,2.0,0.01957451442119969,0.3,-0.5,0.01957451442119969,0.07788241848077045,heston,2015-03-06,2017-03-06,503,0.0,False
2017-03-13,2.0,0.019340610286749695,0.3,-0.5,0.019340610286749695,0.08203140560437995,heston,2015-03-13,2017-03-13,503,0.0,False
2017-03-20,2.0,0.019228732832563475,0.3,-0.5,0.019228732832563475,0.0687472924222643,heston,2015-03-20,2017-03-20,503,0.0,False
