date,equity,cash,stock_shares,stock_value,option_value,open_positions,unrealized_pnl,realized_pnl,hedge_pnl,cumulative_commissions,cumulative_slippage,drawdown,equity_peak
2022-12-21,978662.3917819996,1024953.5767819996,-9,-3476.07,-42815.115000000005,2,-776.8675000000076,-19686.260000000046,2708.269641000021,1544.3999999999999,3259.8016089999796,-0.021337608218000348,1000000.0
2022-12-22,978711.9817819996,1024953.5767819996,-9,-3426.4800000000005,-42815.115000000005,2,-776.8675000000076,-19686.260000000046,2708.269641000021,1544.3999999999999,3259.8016089999796,-0.021288018218000415,1000000.0
2022-12-23,978692.2717819996,1024953.5767819996,-9,-3446.19,-42815.115000000005,2,-776.8675000000076,-19686.260000000046,2708.269641000021,1544.3999999999999,3259.8016089999796,-0.02130772821800042,1000000.0
2022-12-27,978369.8569419994,1034252.2819419994,-87,-33181.799999999996,-22700.625000000004,1,-446.8125000000109,-20346.37000000004,32454.494721000017,1572.9999999999998,3313.019028999979,-0.021630143058000595,1000000.0
2022-12-28,978782.2369419994,1034252.2819419994,-87,-32769.420000000006,-22700.625000000004,1,-446.8125000000109,-20346.37000000004,32454.494721000017,1572.9999999999998,3313.019028999979,-0.021217763058000605,1000000.0
2022-12-29,978192.3769419994,1034252.2819419994,-87,-33359.28,-22700.625000000004,1,-446.8125000000109,-20346.37000000004,32454.494721000017,1572.9999999999998,3313.019028999979,-0.021807623058000547,1000000.0
2022-12-30,978280.2469419994,1034252.2819419994,-87,-33271.41,-22700.625000000004,1,-446.8125000000109,-20346.37000000004,32454.494721000017,1572.9999999999998,3313.019028999979,-0.021719753058000557,1000000.0
2023-01-03,980485.2919419995,1034252.2819419994,-87,-33131.34,-20635.649999999998,1,1618.162499999995,-20346.37000000004,32454.494721000017,1572.9999999999998,3313.019028999979,-0.019514708058000596,1000000.0
2023-01-04,977711.0470179995,977711.0470179995,0,0.0,0.0,0,0.0,-21239.995000000043,-935.9639909999823,1611.9999999999998,3384.3264909999766,-0.02228895298200051,1000000.0
2023-01-05,977711.0470179995,977711.0470179995,0,0.0,0.0,0,0.0,-21239.995000000043,-935.9639909999823,1611.9999999999998,3384.3264909999766,-0.02228895298200051,1000000.0
2023-01-06,977711.0470179995,977711.0470179995,0,0.0,0.0,0,0.0,-21239.995000000043,-935.9639909999823,1611.9999999999998,3384.3264909999766,-0.02228895298200051,1000000.0
2023-01-09,977711.0470179995,977711.0470179995,0,0.0,0.0,0,0.0,-21239.995000000043,-935.9639909999823,1611.9999999999998,3384.3264909999766,-0.02228895298200051,1000000.0
2023-01-10,977711.0470179995,977711.0470179995,0,0.0,0.0,0,0.0,-21239.995000000043,-935.9639909999823,1611.9999999999998,3384.3264909999766,-0.02228895298200051,1000000.0
2023-01-11,977711.0470179995,977711.0470179995,0,0.0,0.0,0,0.0,-21239.995000000043,-935.9639909999823,1611.9999999999998,3384.3264909999766,-0.02228895298200051,1000000.0
2023-01-12,977287.3683619995,971890.6483619995,68,26993.28,-21596.559999999998,1,-418.27999999999884,-21239.995000000043,-27931.94331899998,1653.5999999999997,3449.8058189999765,-0.022712631638000524,1000000.0
2023-01-13,977392.0883619995,971890.6483619995,68,27098.0,-21596.559999999998,1,-418.27999999999884,-21239.995000000043,-27931.94331899998,1653.5999999999997,3449.8058189999765,-0.022607911638000466,1000000.0
2023-01-17,977031.0124459997,1011066.2324459996,14,5568.78,-39603.99999999999,2,-725.4199999999946,-21239.995000000043,-6454.511276999983,1684.7999999999997,3497.943776999977,-0.022968987554000342,1000000.0
2023-01-18,976943.0924459996,1011066.2324459996,14,5480.860000000001,-39603.99999999999,2,-725.4199999999946,-21239.995000000043,-6454.511276999983,1684.7999999999997,3497.943776999977,-0.02305690755400036,1000000.0
2023-01-19,976903.1924459996,1011066.2324459996,14,5440.96,-39603.99999999999,2,-725.4199999999946,-21239.995000000043,-6454.511276999983,1684.7999999999997,3497.943776999977,-0.023096807554000454,1000000.0
2023-01-20,977004.5524459996,1011066.2324459996,14,5542.32,-39603.99999999999,2,-725.4199999999946,-21239.995000000043,-6454.511276999983,1684.7999999999997,3497.943776999977,-0.022995447554000403,1000000.0
